Site,Seagrass,Sample_ID,Date,Days,Season,Order#,Harpacticoid,Cyclopoida,Calanoida,Ostracod,Fish eggs,Appendicularians,Tanaidacea,Amphipod,Decapod,Nematoda,Cumacea,Ascidicea_Larva,Isopoda,Fish_Larvae,Mysida,Total_Abundance
BB,HS,BB-HS2,2/15/2021,66,Winter,1,6,2,6,9,0,2,0,0,0,3,0,0,0,0,3,31
BB,HS,BB-HS2,9/2/2021,71,Fall,2,11,22,18,12,0,3,0,1,0,0,0,1,1,0,0,69
BB,HS,BB-HS1,10/10/2020,78,Fall,3,12,37,25,0,0,2,7,0,0,0,1,0,0,0,0,84
BB,HS,BB-HS1,2/15/2021,66,Winter,4,17,16,27,2,0,3,5,1,3,1,0,0,0,0,0,75
BB,HS,BB-HS2,12/11/2020,62,Fall,5,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,28
BB,HS,BB-HS2,4/30/2021,74,Spring,6,0,4,14,1,2,2,0,0,0,0,0,0,0,0,0,23
BB,HS,BB-HS2,10/10/2020,78,Fall,7,4,4,6,1,6,5,0,1,0,0,0,0,0,0,0,27
FB,HS,FB-HS,9/2/2021,71,Fall,11,14,3,3,2,0,0,0,0,0,1,0,0,0,0,0,23
FB,HS,FB-HS,9/2/2021,71,Fall,12,21,23,5,1,0,4,1,1,0,1,1,0,0,0,0,58
FB,HS,FB-HS,4/30/2021,74,Spring,13,39,32,3,11,0,0,5,1,1,1,1,0,0,0,0,94
FB,HS,FB-HS,2/15/2021,66,Winter,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FB,HS,FB-HS,7/23/2020,53,Summer,18,9,1,3,35,0,1,2,0,0,0,0,0,0,0,0,51
LB,HS,LB-HS,9/2/2021,71,Fall,22,15,3,2,16,0,5,1,2,2,4,0,0,0,0,0,50
LB,HS,LB-HS,9/2/2021,71,Fall,23,21,3,3,0,0,1,1,0,1,1,0,0,0,2,0,33
LB,HS,LB-HS,7/23/2020,53,Summer,27,6,1,1,3,3,9,3,4,0,0,1,0,0,0,0,31
LB,HS,LB-HS,4/30/2021,74,Spring,32,7,2,2,16,0,11,1,1,5,0,0,0,0,0,0,45
SB,HS,SB-HS,9/2/2021,71,Fall,34,26,6,1,2,0,0,2,0,3,5,0,1,0,0,0,46
SB,HS,SB-HS,4/30/2021,74,Spring,36,12,31,5,0,0,0,0,0,1,0,0,0,0,0,0,49
SB,HS,SB-HS,10/9/2020,78,Fall,37,11,3,6,7,0,0,0,0,0,0,0,1,0,0,0,28
SB,HS,SB-HS,4/30/2021,74,Spring,42,8,12,9,1,2,0,0,1,0,0,0,0,0,0,0,33
SI,HS,SI-HS,4/30/2021,74,Spring,44,10,4,4,4,0,0,0,0,4,0,0,0,0,0,0,26
SI,HS,SI-HS,4/15/2021,59,Spring,45,9,4,4,0,0,1,0,2,0,0,0,0,0,0,0,20
SI,HS,SI-HS,4/30/2021,74,Spring,47,17,4,6,1,0,12,0,0,0,0,0,0,0,0,0,40
SI,HS,SI-HS2,7/23/2020,53,Summer,48,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
