Sample ID,Date,Site,Seagrass,Amphipod,Cumacea,Tanaidacea,Mysida,Isopod,Decapod,Stomatopod,Calanoida,Cyclopoida,Harpacticoid,Naupaulis stage III,Naupaulis stage I: ,Ostracod,Appendicularia,Ascidiceans,Fish Larvae,Fish eggs,Nemotode,Chaetognath,Polychaete,Bivalve,Chiton,Snail Larvae
BB-HS2,2/15/2021,BB,HS,0,0,0,3,0,0,0,6,2,6,0,,9,2,0,0,0,3,0,6,0,0,0
BB-HS2,9/2/2021,BB,HS,1,0,0,0,1,0,0,18,22,11,0,0,12,3,1,0,0,0,0,2,0,0,0
BB-HS1,10/10/2022,BB,HS,0,1,7,0,0,0,0,25,37,12,0,0,0,2,0,0,0,0,0,1,0,0,0
BB-HS1,2/15/2021,BB,HS,1,0,5,0,0,3,0,27,16,17,0,0,2,3,0,0,0,1,0,3,0,0,0
BB-HS2,12/11/2020,BB,HS,0,0,0,0,0,0,0,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0
BB-HS2,4/30/2021,BB,HS,0,0,0,0,0,0,0,14,4,0,0,0,1,2,0,0,2,0,0,0,6,0,0
BB-HS2,10/10/2020,BB,HS,1,0,0,0,0,0,0,6,4,4,0,0,1,5,0,0,6,0,0,3,1,0,0
FB-HS,9/2/2021,FB,HS,0,0,0,0,0,0,0,3,3,14,0,0,2,0,0,0,0,1,0,0,0,0,0
FB-HS,4/30/2021,FB,HS,1,1,1,0,0,0,0,5,23,21,0,0,1,4,0,0,0,1,0,4,0,0,4
FB-HS,10/9/2020,FB,HS,1,1,5,0,0,1,0,3,32,39,1,0,11,0,0,0,0,1,0,2,0,0,0
FB-HS,4/27/2021,FB,HS,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5
FB-HS,2/15/2021,FB,HS,0,0,2,0,0,0,0,3,1,9,0,0,35,1,0,0,0,0,0,1,1,0,0
LB-HS,9/2/2021,LB,HS,2,0,1,0,0,2,0,2,3,15,0,0,16,5,0,0,0,4,0,2,0,0,0
LB-HS,4/30/2021,LB,HS,0,0,1,0,0,1,0,3,3,21,0,0,0,1,0,2,0,1,0,1,0,0,0
LB-HS,7/23/2020,LB,HS,4,1,3,0,0,0,0,1,1,6,0,0,3,9,0,0,3,0,0,8,5,1,7
LB-HS,10/9/2020,LB,HS,1,0,1,0,0,5,0,2,2,7,0,0,16,11,0,0,0,0,0,0,0,0,0
SB-HS,9/2/2021,SB,HS,0,0,2,0,0,3,0,1,6,26,1,0,2,0,1,0,0,5,0,1,0,0,1
SB-HS,10/9/2020,SB,HS,0,0,0,0,0,1,0,5,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0
SB-HS,7/23/2020,SB,HS,0,0,0,0,0,0,0,6,3,11,0,0,7,0,1,0,0,0,0,1,0,0,1
SB-HS,3/30/2021,SB,HS,1,0,0,0,0,0,0,9,12,8,0,0,1,0,0,0,2,0,0,0,0,0,0
SI-HS,4/15/2021,SI,HS,0,0,0,0,0,4,0,4,4,10,0,0,4,0,0,0,0,0,0,0,0,0,0
SI-HS,9/2/2021,SI,HS,2,0,0,0,0,0,0,4,4,9,1,0,0,1,0,0,0,0,0,2,0,0,0
SI-HS,7/23/2020,SI,HS,0,0,0,0,0,0,0,6,4,17,0,0,1,12,0,0,0,0,0,0,0,0,0
SI-HS2,10/10/2020,SI,HS,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0
SI-HS1,4/30/2021,SI,HS,1,1,0,0,0,0,0,4,0,6,0,0,2,1,0,0,0,3,0,2,0,0,1
FB-SF,9/2/2021,FB,SF,0,0,0,0,0,0,0,3,6,6,0,0,1,0,0,0,0,0,0,1,0,0,0
FB-SF,2/15/2021,FB,SF,2,1,0,0,2,0,0,9,3,2,0,0,6,0,1,0,3,0,0,2,0,0,0
FB-SF,10/9/2020,FB,SF,2,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,7,0,0,0,1,0,0
FB-SF,7/23/2020,FB,SF,0,0,0,0,0,0,0,2,1,9,0,0,0,0,0,0,7,0,0,2,0,0,0
FB-SF,4/27/2021,FB,SF,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
